2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
156	Intel Xeon W-1270P	3.8 GHz	8	LGA1200	18079	 
157	Intel Xeon E5-2680 v4	2.4 GHz	14	LGA2011-3	18078	 
158	AMD Ryzen 5 PRO 3600	3.6 GHz	6	AM4	17892	 
159	AMD Ryzen 5 3600	3.6 GHz	6	AM4	17832	 
160	Intel Xeon E5-2687W v4	3.0 GHz	12	LGA2011-3	17791	 
161	Intel Xeon E5-2690 v4	2.6 GHz	14	LGA2011-3	17678	 
162	Intel Xeon E5-2683 v4	2.1 GHz	16	LGA2011-3	17614	 
163	Intel Core i7-10700	2.9 GHz	8	LGA1200	17609	 
164	Intel Xeon E5-2696 v4	2.2 GHz	22	LGA2011-3	17605	 
165	AMD Ryzen 7 4800U	1.8 GHz	8	FP6	17567	 
166	Intel Core i7-7820X	3.6 GHz	8	LGA2066	17562	 
167	AMD Ryzen 7 2700X	3.7 GHz	8	AM4	17555	 
168	Intel Xeon E5-2673 v4	2.3 GHz	20	LGA2011-3	17533	 
169	Intel Xeon E5-2697 v4	2.3 GHz	18	LGA2011-3	17482	 
170	Intel Xeon E5-2698 v4	2.2 GHz	20	LGA2011-3	17472	 
171	Intel Xeon W-2140B	3.2 GHz	8	LGA2066	17366	 
172	Intel Core i7-6950X	3.0 GHz	10	LGA2011-v3	17364	 
173	Intel Xeon E-2288G	3.7 GHz	8	LGA1151-2	17320	 
174	Intel Core i9-9900	3.1 GHz	8	LGA1151-2	17252	 
175	Intel Xeon Gold 5120T	2.2 GHz	14	LGA3647	17213	 
176	Intel Xeon E-2278GE	3.3 GHz	8	LGA1151	17210	 
177	AMD Ryzen 5 4600G	3.7 GHz	6	AM4	17197	 
178	Intel Xeon W-3223	3.5 GHz	8	LGA3647	17127	 
179	Intel Xeon W-10885M	2.4 GHz	8	BGA1440	17094	 
180	AMD Ryzen 5 PRO 4650G	3.7 GHz	6	AM4	17083	 
181	Intel Xeon E-2278G	3.4 GHz	8	LGA1151-2	17069	 
182	Intel Core i9-10980HK	2.4 GHz	8	BGA1440	17045	 
183	AMD Ryzen 7 PRO 2700X	3.7 GHz	8	AM4	17006	 
184	Intel Core i9-10900T	1.9 GHz	10	LGA1200	16991	 
185	Intel Xeon Gold 5120	2.2 GHz	14	LGA3647	16990	 
186	AMD Ryzen Threadripper 1900X	3.8 GHz	8	sTR4	16957	 
187	AMD Ryzen 5 PRO 4400G	3.7 GHz	6	16818	 
188	Intel Xeon E5-2686 v4	2.3 GHz	18	LGA2011-3	16745	 
189	Intel Core i7-10870H	2.2 GHz	8	BGA1440	16719	 
