2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
726	Intel Core i3-8100	3.6 GHz	4	LGA1151-2	6169	 
727	Intel Xeon X5670	2.9 GHz	6	LGA1366	6153	 
728	Intel Core i5-7500	3.4 GHz	4	LGA1151	6146	 
729	AMD FX-8370 Eight-Core	4.0 GHz	8	AM3+	6116	 
730	Intel Core i7-4770HQ	2.2 GHz	4	BGA1364	6111	 
731	Intel Core i5-8250U	1.6 GHz	4	-BGA1356	6094	 
732	Intel Core i7-5675C	3.1 GHz	4	LGA1150	6089	 
733	Intel Xeon E3-1505L v6	2.2 GHz	4	BGA1440	6088	 
734	Intel Xeon E5-1410 v2	2.8 GHz	4	LGA 1356	6081	 
735	Intel Xeon E5-2630	2.3 GHz	6	LGA2011	6074	 
736	Intel Xeon E5-2658	2.1 GHz	8	LGA2011	6073	 
737	Intel Core i7-3840QM	2.8 GHz	4	rPGA988B	6070	 
738	AMD Opteron 6344	2.6 GHz	12	6069	 
739	Intel Core i7-4850HQ	2.3 GHz	4	BGA1364	6063	 
740	Intel Xeon E3-1275 V2	3.5 GHz	4	LGA1155	6051	 
741	Intel Xeon E3-1220 v6	3.0 GHz	4	LGA1151	6048	 
742	Intel Core i7-5700HQ	2.7 GHz	4	BGA1364	6047	 
743	Intel Xeon E5-2440	2.4 GHz	6	LGA 1356	6040	 
744	Intel Xeon E3-1245 V2	3.4 GHz	4	LGA1155	6036	 
745	Intel Xeon E3-1265L v3	2.5 GHz	4	LGA1150	6019	 
746	Intel Core i7-8550U	1.8 GHz	4	-BGA1356	6017	 
747	AMD FX-9370 Eight-Core	4.4 GHz	8	AM3+	6015	 
748	AMD Ryzen 3 2200GE	3.2 GHz	4	AM4	6011	 
749	AMD Ryzen 3 PRO 3300U	2.1 GHz	4	FP5	6007	 
750	Intel Core i7-3920XM	2.9 GHz	4	PGA988	6001	 
751	Intel Core i5-6600	3.3 GHz	4	LGA 1151	5991	 
752	Intel Core i5-8265UC	1.6 GHz	4	BGA1528	5988	 
753	Intel Xeon E5-2609 v4	1.7 GHz	8	LGA2011-3	5974	 
754	Intel Xeon E3-1275L v3	2.7 GHz	4	LGA1150	5949	 
755	Intel Core i7-4770T	2.5 GHz	4	LGA1150	5946	 
756	Intel Core i5-5675C	3.1 GHz	4	LGA1150	5932	 
757	Intel Xeon D-1521	2.4 GHz	4	BGA1667	5931	 
758	Intel Core i5-5675R	3.1 GHz	4	BGA1364	5931	 
759	AMD FX-8350 Eight-Core	4.0 GHz	8	AM3+	5918	 
760	Intel Core i7-4800MQ	2.7 GHz	4	rPGA946B	5906	 
761	Intel Core i7-5700EQ	2.6 GHz	4	BGA1364	5905	 
762	Intel Xeon E5-1620	3.6 GHz	4	LGA2011	5902	 
763	AMD Opteron 6378	2.4 GHz	16	G34	5889	 
764	Intel Xeon E3-1240L v5	2.1 GHz	4	LGA1151	5880	 
765	AMD Ryzen 3 PRO 2300U	2.0 GHz	4	FP5	5873	 
766	Intel Core i7-3820	3.6 GHz	4	LGA2011	5868	 
767	Intel Xeon X5650	2.7 GHz	6	LGA1366	5863	 
768	Intel Xeon E3-1225 v5	3.3 GHz	4	LGA1151	5863	 
769	Intel Core i5-7600T	2.8 GHz	4	LGA1151	5858	 
770	Intel Core i7-4710MQ	2.5 GHz	4	PGA946	5838	 
771	Intel Core i3-8300T	3.2 GHz	4	LGA1151-2	5827	 
772	Intel Xeon E5-2650L	1.8 GHz	8	LGA 2011	5816	 
773	AMD Opteron 4274 HE	2.5 GHz	8	C32	5776	 
774	AMD Ryzen 3 3300U	2.1 GHz	4	FP5	5743	 
775	Intel Xeon E5-2430	2.2 GHz	6	LGA 1356	5737	 
776	Intel Xeon W-2102	2.9 GHz	4	LGA2066	5727	 
777	Intel Core i5-6402P	2.8 GHz	4	LGA 1151	5719	 
778	Intel Xeon E3-1205 v6	3.0 GHz	4	LGA1151	5682	 
779	Intel Core i7-4720HQ	2.6 GHz	4	BGA1364	5678	 
780	Intel Core i7-3720QM	2.6 GHz	4	BGA1224	5670	 
781	Intel Xeon D-1559	1.5 GHz	12	BGA1667	5647	 
782	Intel Core i5-6500	3.2 GHz	4	LGA 1151	5627	 
783	AMD Opteron 6238	2.6 GHz	12	Socket G34	5625	 
784	Intel Core i7-4722HQ	2.4 GHz	4	BGA1364	5620	 
785	Intel Core i7-3740QM	2.7 GHz	4	rPGA988B	5611	 
786	Intel Xeon E5-2450L	1.8 GHz	8	LGA 1356	5586	 
787	Intel Core i5-4690	3.5 GHz	4	LGA1150	5586	 
788	AMD Opteron 6376	2.3 GHz	16	Socket G34	5572	 
789	Intel Xeon E5-2643	3.3 GHz	4	LGA2011	5562	 
790	Intel Core i5-7440HQ	2.8 GHz	4	BGA1440	5553	 
791	Intel Core i5-5575R	2.8 GHz	4	LGA1150	5550	 
792	Intel Core i5-4670K	3.4 GHz	4	LGA1150	5532	 
793	Intel Core i7-10510Y	1.2 GHz	4	UTBGA1377	5523	 
794	Intel Core i5-6600T	2.7 GHz	4	LGA 1151	5514	 
795	Intel Core i7-3770T	2.5 GHz	4	LGA1155	5511	 
796	Intel Xeon Bronze 3104	1.7 GHz	6	LGA3647	5511	 
797	Intel Core i7-3820QM	2.7 GHz	4	BGA1224	5509	 
798	Intel Core i7-2700K	3.5 GHz	4	LGA1155	5508	 
799	Intel Core i7-4700HQ	2.4 GHz	4	BGA1364	5500	 
800	Intel Core i5-7400	3.0 GHz	4	LGA1151	5499	 
801	Intel Core i5-4690K	3.5 GHz	4	LGA1150	5498	 
802	Intel Xeon E3-1226 v3	3.3 GHz	4	LGA1150	5491	 
803	AMD Ryzen Embedded V1404I	2.0 GHz	4	5491	 
804	Intel Core i5-4670	3.4 GHz	4	LGA1150	5483	 
805	Intel Xeon E3-1280	3.5 GHz	4	LGA1155	5466	 
806	Intel Xeon Bronze 3204	1.9 GHz	6	LGA3647	5456	 
807	Intel Core i3-9100T	3.1 GHz	4	LGA1151-2	5453	 
808	Intel Core i7-4710HQ	2.5 GHz	4	BGA1364	5449	 
809	Intel Core i5-760S	2.5 GHz	4	5440	 
810	Intel Xeon E5-2630L	2.0 GHz	6	LGA 2011	5435	 
811	Intel Core i7-2600K	3.4 GHz	4	LGA1155	5396	 
812	Intel Core i5-1030NG7	1.1 GHz	4	BGA1526	5396	 
813	Intel Core i3-8100T	3.1 GHz	4	LGA1151-2	5391	 
814	Intel Xeon X5687	3.6 GHz	4	LGA1366	5387	 
815	Intel Core i7-4702HQ	2.2 GHz	4	BGA1364	5382	 
816	Intel Core i7-4750HQ	2.0 GHz	4	BGA1364	5376	 
817	Intel Core i7-4785T	2.2 GHz	4	LGA1150	5370	 
818	Intel Core i5-6440EQ	2.7 GHz	4	BGA1440	5368	 
819	Intel Core i5-7500T	2.7 GHz	4	LGA1151	5347	 
820	Intel Core i5-4670R	3.0 GHz	4	BGA1364	5335	 
821	Intel Xeon E3-1268L v3	2.3 GHz	4	LGA1150	5333	 
822	Intel Core i7-2600	3.4 GHz	4	LGA1155	5329	 
823	AMD FX-8320 Eight-Core	3.5 GHz	8	AM3+	5328	 
824	Intel Core i5-4670S	3.1 GHz	4	LGA1150	5303	 
825	Intel Core i5-4690S	3.2 GHz	4	LGA1150	5303	 
826	AMD Ryzen 3 2300U	2.0 GHz	4	FP5	5301	 
827	Intel Xeon E3-1245	3.3 GHz	4	LGA1155	5299	 
828	Intel Core i5-6500TE	2.3 GHz	4	LGA 1151	5295	 
829	Intel Xeon E3-1275	3.4 GHz	4	LGA1155	5291	 
830	Intel Core i5-6440HQ	2.6 GHz	4	LGA 1151	5290	 
831	Intel Core i5-4590	3.3 GHz	4	LGA1150	5288	 
832	AMD Opteron 6274	2.2 GHz	16	G34	5286	 
833	AMD FX-8300 Eight-Core	3.3 GHz	8	AM3+	5284	 
834	Intel Xeon E3-1270	3.4 GHz	4	LGA1155	5283	 
835	Intel Core i7-4700MQ	2.4 GHz	4	rPGA946B	5265	 
836	Intel Core i7-4702MQ	2.2 GHz	4	PGA946	5265	 
837	Intel Xeon E3-1220 v5	3.0 GHz	4	LGA1151	5264	 
838	Intel Xeon E5-2430L	2.0 GHz	6	LGA1356	5263	 
839	Intel Core i3-1005G1	1.2 GHz	2	BGA1526	5245	 
840	Intel Core i5-8365UE	1.6 GHz	4	BGA1528	5243	 
841	Intel Core i7-6822EQ	2.0 GHz	4	LGA 1151	5241	 
842	Intel Core i7-4860EQ	1.8 GHz	4	BGA1364	5235	 
843	Intel Xeon E3-1225 v3	3.2 GHz	4	LGA1150	5223	 
844	Intel Xeon X5677	3.5 GHz	4	LGA1366	5213	 
845	Intel Xeon E3-1220 v3	3.1 GHz	4	LGA1150	5183	 
846	Intel Core i5-6400	2.7 GHz	4	LGA 1151	5180	 
847	Intel Core i7-3615QE	2.3 GHz	4	BGA1224	5174	 
848	Intel Core i5-4570	3.2 GHz	4	LGA1150	5169	 
849	Intel Core i7-3610QM	2.3 GHz	4	PGA988B	5165	 
850	AMD Opteron 6272	2.1 GHz	16	G34	5146	 
851	AMD FX-8310 Eight-Core	3.4 GHz	8	AM3+	5144	 
852	Intel Xeon X5672	3.2 GHz	4	LGA1366	5143	 
853	Intel Xeon E3-1240	3.3 GHz	4	LGA1155	5140	 
854	Intel Xeon E5-2620	2.0 GHz	6	LGA2011	5131	 
855	Intel Core i5-7300HQ	2.5 GHz	4	5117	 
856	Intel Core i5-4590S	3.0 GHz	4	LGA1150	5111	 
857	Intel Xeon E5649	2.5 GHz	6	LGA1366	5086	 
858	AMD Opteron 6328	3.2 GHz	8	G34	5084	 
859	Intel Core i7-3615QM	2.3 GHz	4	BGA1224	5078	 
860	Intel Xeon E3-1240L v3	2.0 GHz	4	LGA1150	5062	 
861	Intel Core i7-3630QM	2.4 GHz	4	rPGA988B	5057	 
862	Intel Xeon D-1518	2.2 GHz	4	BGA1667	5050	 
863	AMD FX-8370E Eight-Core	3.3 GHz	8	AM3+	5045	 
864	AMD FX-8320E Eight-Core	3.2 GHz	8	AM3+	5039	 
865	Intel Core i5-4670K CPT	3.4 GHz	4	LGA1150	5034	 
866	Intel Xeon E5-2430L v2	2.4 GHz	6	LGA 1356	5014	 
867	Intel Xeon E3-1235L v5	2.0 GHz	4	LGA1151	5013	 
868	Intel Core i5-4570S	2.9 GHz	4	LGA1150	5010	 
869	Intel Xeon E3-1290	3.6 GHz	4	LGA1155	4988	 
870	Intel Xeon E5-1607 v3	3.1 GHz	4	LGA2011-v3	4985	 
871	AMD FX-8150 Eight-Core	3.6 GHz	8	AM3+	4981	 
872	Intel Core i7-4712MQ	2.3 GHz	4	PGA946	4975	 
873	Intel Core i7-4712HQ	2.3 GHz	4	BGA1364	4974	 
874	Intel Core i5-6500T	2.5 GHz	4	LGA 1151	4966	 
875	AMD FX-8140 Eight-Core	3.2 GHz	8	AM3+	4953	 
876	Intel Core i3-7350K	4.2 GHz	2	LGA1151	4945	 
877	Intel Core i7-4700EQ	2.4 GHz	4	BGA1364	4941	 
878	Intel Core i5-3570K	3.4 GHz	4	LGA1155	4932	 
879	Intel Core i3-7320	4.1 GHz	2	LGA1151	4931	 
880	AMD Athlon 300GE	3.4 GHz	2	AM4	4930	 
881	Intel Xeon E3-1230	3.2 GHz	4	LGA1155	4897	 
882	Intel Core i5-10210Y	1.0 GHz	4	UTBGA1377	4895	 
883	Intel Core i7-3940XM	3.0 GHz	4	rPGA988B	4894	 
884	Intel Core i5-3570	3.4 GHz	4	LGA1155	4892	 
885	Intel Xeon E5-2420	1.9 GHz	6	LGA1356	4884	 
886	AMD Opteron 6366 HE	1.8 GHz	16	4858	 
887	Intel Xeon E5645	2.4 GHz	6	LGA1366	4854	 
888	Intel Xeon L5640	2.8 GHz	6	LGA1366	4841	 
889	Intel Xeon E5-1603 v4	2.8 GHz	4	LGA2011-3	4838	 
890	Intel Xeon E3-1505L v5	2.0 GHz	4	BGA1440	4838	 
891	Intel Core i5-7442EQ	2.1 GHz	4	BGA1440	4834	 
892	Intel Core i5-4570R	2.7 GHz	4	BGA1364	4820	 
893	Intel Core i7-3612QE	2.1 GHz	4	BGA1224	4783	 
894	Intel Core i5-4460	3.2 GHz	4	LGA1150	4780	 
895	Intel Core i3-7300	4.0 GHz	2	LGA1151	4778	 
896	Intel Core i5-3550	3.3 GHz	4	LGA1155	4778	 
897	AMD Opteron 6220	3.0 GHz	8	Socket G34	4753	 
898	Intel Core i5-4470S	3.0 GHz	4	LGA1150	4742	 
899	Intel Core i7-4765T	2.0 GHz	4	LGA1150	4733	 
900	Intel Core i7-3610QE	2.3 GHz	4	rPGA988B	4730	 
901	AMD Athlon Silver PRO 3125GE	3.4 GHz	2	AM4	4701	 
902	Intel Xeon E5-2603 v4	1.7 GHz	6	LGA2011-3	4695	 
903	Intel Core i7-3635QM	2.4 GHz	4	4691	 
904	Intel Core i5-4430	3.0 GHz	4	LGA1150	4688	 
905	Intel Xeon E3-1225 V2	3.2 GHz	4	LGA1155	4675	 
906	Intel Atom C3758	2.2 GHz	8	BGA1310	4675	 
907	Intel Xeon E3-1220 V2	3.1 GHz	4	LGA1155	4666	 
908	AMD Opteron 4284	3.0 GHz	8	Socket C32	4665	 
909	Intel Core i5-3470	3.2 GHz	4	LGA1155	4654	 
910	Intel Core i5-4440	3.1 GHz	4	LGA1150	4642	 
911	Intel Xeon E5-1410	2.8 GHz	4	LGA1356	4634	 
912	AMD Athlon 240GE	3.5 GHz	2	AM4	4630	 
913	Intel Core i5-3550S	3.0 GHz	4	LGA1155	4610	 
914	Intel Core i5-6300HQ	2.3 GHz	4	LGA 1151	4608	 
915	Intel Core i5-3570S	3.1 GHz	4	LGA1155	4605	 
916	Intel Xeon E3-1265L V2	2.5 GHz	4	LGA1155	4582	 
917	Intel Xeon E3-1230L v3	1.8 GHz	4	LGA1150	4548	 
918	Intel Xeon E5-2609 v3	1.9 GHz	6	LGA2011-v3	4537	 
919	Intel Xeon X5667	3.1 GHz	4	LGA1366	4534	 
920	Intel Core i7-2860QM	2.5 GHz	4	BGA1224	4529	 
921	Intel Core i7-3632QM	2.2 GHz	4	rPGA988B	4524	 
922	Intel Core i5-7400T	2.4 GHz	4	LGA1151	4522	 
923	Intel Xeon X5647	2.9 GHz	4	LGA1366	4522	 
924	Intel Core i5-6442EQ	1.9 GHz	4	BGA1440	4519	 
925	Intel Core i7-2920XM	2.5 GHz	4	PGA988	4512	 
926	AMD Athlon 220GE	3.4 GHz	2	AM4	4509	 
927	AMD Opteron 4280	2.8 GHz	8	Socket C32	4504	 
928	AMD A8-7500	3.0 GHz	4	FM2+	4488	 
929	AMD Athlon 3000G	3.5 GHz	2	AM4	4481	 
930	AMD FX-6330 Six-Core	3.6 GHz	6	AM3+	4479	 
931	AMD FX-6350 Six-Core	3.9 GHz	6	AM3+	4478	 
932	Intel Core i5-4460S	2.9 GHz	4	LGA1150	4457	 
933	Intel Xeon E5-1603 v3	2.8 GHz	4	LGA2011-v3	4451	 
934	Intel Core i3-6300	3.8 GHz	2	LGA 1151	4446	 
935	Intel Core i5-4440S	2.8 GHz	4	LGA1150	4427	 
936	Intel Core i3-6320	3.9 GHz	2	LGA 1151	4421	 
937	Intel Xeon L5639	2.1 GHz	6	LGA1366	4419	 
938	AMD Ryzen 3 3250U	2.6 GHz	2	FP5	4413	 
939	Intel Core i5-6400T	2.2 GHz	4	LGA 1151	4405	 
940	Intel Core i5-4670T	2.3 GHz	4	LGA1150	4404	 
941	Intel Core i5-7360U	2.3 GHz	2	BGA1356	4392	 
942	Intel Core i5-3450	3.1 GHz	4	LGA1155	4388	 
943	AMD FX-8120 Eight-Core	3.1 GHz	8	AM3+	4382	 
944	AMD Opteron 4386	3.1 GHz	8	C32	4378	 
945	Intel Core i3-8109U	3.0 GHz	2	BGA1528	4378	 
946	Intel Core i7-2600S	2.8 GHz	4	LGA1155	4364	 
947	Intel Xeon E5-1607 v2	3.0 GHz	4	LGA 2011	4355	 
948	AMD FX-6130 Six-Core	3.6 GHz	6	AM3+	4353	 
949	Intel Core i7-7567U	3.5 GHz	2	BGA1356	4350	 
950	Intel Xeon E3-1235	3.2 GHz	4	LGA1155	4347	 
951	AMD Ryzen Embedded R1606G	2.6 GHz	2	FP5	4339	 
952	AMD Athlon PRO 300GE	3.4 GHz	2	AM4	4337	 
953	Intel Core i7-3612QM	2.1 GHz	4	PGA988B, BGA12	4336	 
954	Intel Core i5-4430S	2.7 GHz	4	LGA1150	4332	 
955	Intel Core i5-3470S	2.9 GHz	4	LGA1155	4312	 
956	AMD Ryzen 3 PRO 2100GE	3.2 GHz	2	AM4	4308	 
957	Intel Core i3-8121U	2.2 GHz	2	4281	 
958	Intel Atom C3958	2.0 GHz	16	BGA1310	4281	 
959	AMD Ryzen Embedded R1505G	2.4 GHz	2	FP5	4280	 
960	Intel Core i5-4690T	2.5 GHz	4	LGA1150	4267	 
961	Intel Core i5-3350P	3.1 GHz	4	LGA1155	4264	 
962	Intel Core i5-3340	3.1 GHz	4	LGA1155	4262	 
963	Intel Core i3-7100	3.9 GHz	2	LGA1151	4260	 
964	Intel Pentium Gold G6400	4.0 GHz	2	LGA1200	4259	 
965	Intel Core i7-4770TE	2.3 GHz	4	LGA1150	4257	 
966	Intel Xeon E5-2648L	1.8 GHz	8	LGA 2011	4235	 
967	Intel Xeon L5638	2.0 GHz	6	LGA1366	4222	 
968	AMD Athlon 200GE	3.2 GHz	2	AM4	4211	 
969	Intel Core i7-7660U	2.5 GHz	2	BGA1356	4208	 
970	Intel Core i7-2760QM	2.4 GHz	4	BGA1224	4208	 
971	Intel Pentium Gold G6500	4.1 GHz	2	LGA1200	4208	 
972	Intel Core i7-2820QM	2.3 GHz	4	BGA1224	4203	 
973	Intel Core i7-2720QM	2.2 GHz	4	BGA1224	4202	 
974	Intel Core i3-10110U	2.1 GHz	2	BGA1528	4201	 
975	AMD Ryzen 3 3200U	2.6 GHz	2	FP5	4198	 
976	Intel Core i3-8145UE	2.2 GHz	2	BGA1528	4181	 
977	AMD Athlon Gold 3150U	2.4 GHz	2	FP5	4171	 
978	Intel Pentium Gold G5600F	3.9 GHz	2	LGA1151-2	4161	 
979	Intel Core i3-6100	3.7 GHz	2	LGA 1151	4159	 
980	Intel Core i5-7287U	3.3 GHz	2	4149	 
981	Intel Core i3-7300T	3.5 GHz	2	LGA1151	4147	 
982	AMD Athlon PRO 200GE	3.2 GHz	2	AM4	4139	 
983	AMD Opteron 3380	2.6 GHz	8	4134	 
984	Intel Core i3-6098P	3.6 GHz	2	LGA 1151	4127	 
985	AMD FX-6300 Six-Core	3.5 GHz	6	AM3+	4124	 
986	Intel Core i7-2960XM	2.7 GHz	4	PGA988B	4123	 
987	Intel Core i5-3570T	2.3 GHz	4	LGA1155	4120	 
988	AMD Opteron 3365	2.3 GHz	8	AM3+	4114	 
989	Intel Core i5-2550K	3.4 GHz	4	LGA1155	4105	 
990	Intel Pentium Gold G5620	4.0 GHz	2	LGA1151-2	4102	 
991	Intel Core i5-3450S	2.8 GHz	4	LGA1155	4097	 
992	Intel Core i5-3330	3.0 GHz	4	LGA1155	4094	 
993	Intel Core i5-7267U	3.1 GHz	2	BGA1356	4093	 
994	AMD Opteron 6234	2.4 GHz	12	G34	4072	 
995	Intel Xeon E5-2609 v2	2.5 GHz	4	LGA 2011	4071	 
996	Intel Xeon E5-2603 v3	1.6 GHz	6	LGA2011-v3	4065	 
997	Intel Core i5-2500K	3.3 GHz	4	LGA1155	4064	 
998	Intel Core i5-2500	3.3 GHz	4	LGA1155	4057	 
999	AMD Opteron 6212	2.6 GHz	8	Socket G34	4046	 
1000	Intel Core i3-6300T	3.3 GHz	2	LGA 1151	4040	 
1001	Intel Core i5-7260U	2.2 GHz	2	BGA1356	4037	 
1002	Intel Core i3-1000NG4	1.1 GHz	2	BGA1526	4035	 
1003	Intel Xeon E5-2407 v2	2.4 GHz	4	LGA1356	4034	 
1004	AMD Athlon 300U	2.4 GHz	2	FP5	4032	 
1005	Intel Xeon E5640	2.7 GHz	4	LGA1366	4018	 
1006	Intel Core i3-7101TE	3.4 GHz	2	LGA1151	4003	 
1007	Intel Core i5-3475S	2.9 GHz	4	LGA1155	3987	 
1008	AMD FX-6200 Six-Core	3.8 GHz	6	AM3+	3970	 
1009	Intel Core i5-4590T	2.0 GHz	4	LGA1150	3965	 
1010	AMD Opteron 4334	3.1 GHz	6	Socket C32	3949	 
1011	Intel Core i7-985	3.5 GHz	4	LGA1366	3928	 
1012	AMD PRO A12-9800	3.8 GHz	4	AM4	3920	 
1013	Intel Pentium G4620	3.7 GHz	2	LGA1151	3915	 
1014	Intel Pentium Gold G5600	3.9 GHz	2	LGA1151-2	3880	 
1015	Intel Core i5-3340S	2.8 GHz	4	LGA1155	3876	 
1016	Intel Core i3-4370	3.8 GHz	2	LGA1150	3851	 
1017	AMD PRO A12-8870	3.7 GHz	4	AM4	3848	 
1018	AMD FX-8100 Eight-Core	2.8 GHz	8	AM3+	3847	 
1019	Intel Core i5-3330S	2.7 GHz	4	LGA1155	3843	 
1020	Intel Core i7-2840QM	2.4 GHz	4	rPGA988B	3842	 
1021	AMD Athlon X4 845	3.5 GHz	4	FM2+	3836	 
1022	AMD FX-6120 Six-Core	3.5 GHz	6	AM3+	3821	 
1023	Intel Core i5-2400	3.1 GHz	4	LGA1155	3804	 
1024	Intel Xeon E3-1220	3.1 GHz	4	LGA1155	3804	 
1025	Intel Core i5-7300U	2.6 GHz	2	BGA1356	3801	 
1026	Intel Pentium Gold G5500	3.8 GHz	2	LGA1151-2	3782	 
1027	AMD Phenom II X6 1100T	3.3 GHz	6	AM3	3776	 
1028	AMD Opteron 3280	2.4 GHz	8	AM3+	3765	 
1029	Intel Core i7-6567U	3.3 GHz	2	BGA1356	3761	 
1030	Intel Core i5-3335S	2.7 GHz	4	LGA1155	3754	 
1031	AMD PRO A10-8850B	3.9 GHz	4	FM2+	3752	 
1032	Intel Core i3-7100T	3.4 GHz	2	LGA1151	3749	 
1033	Intel Xeon E5630	2.5 GHz	4	LGA1366	3745	 
1034	ZHAOXIN KaiXian KX-U6780A@2.7GHz	2.7 GHz	8	3744	 
1035	Intel Xeon E5-1607	3.0 GHz	4	LGA2011	3743	 
1036	Intel Core i7-2670QM	2.2 GHz	4	PGA988B	3735	 
1037	AMD Ryzen Embedded V1202B	2.3 GHz	2	FP5	3734	 
1038	Intel Core i7-7560U	2.4 GHz	2	BGA1356	3718	 
1039	Intel Pentium Gold G5420T	3.2 GHz	2	LGA1151-2	3716	 
1040	Intel Core i3-6100T	3.2 GHz	2	LGA 1151	3716	 
1041	AMD Opteron 4332 HE	3.0 GHz	6	Socket C32	3715	 
1042	Intel Core i5-2380P	3.1 GHz	4	LGA1155	3709	 
1043	Intel Pentium Gold G5400	3.7 GHz	2	LGA1151-2	3709	 
1044	Intel Core i7-2710QE	2.1 GHz	4	PGA988B	3704	 
1045	Intel Core i3-8145U	2.1 GHz	2	BGA1528	3704	 
1046	Intel Xeon E3-1260L	2.4 GHz	4	LGA1155	3698	 
1047	AMD Opteron 6174	2.2 GHz	12	Socket G34	3697	 
1048	Intel Pentium Silver J5040	2.0 GHz	4	BGA1090	3690	 
1049	Intel Core i7-7500U	2.7 GHz	2	BGA1356	3682	 
1050	AMD Phenom II X6 1090T	3.2 GHz	6	AM3	3655	 
1051	AMD FX-6100 Six-Core	3.3 GHz	6	AM3+	3640	 
1052	Intel Core i3-10110Y	1.0 GHz	2	UTBGA1377	3639	 
1053	Intel Core i7-7600U	2.8 GHz	2	BGA1356	3633	 
1054	Intel Core i7-5557U	3.1 GHz	2	BGA1168	3618	 
1055	Intel Core i3-4360	3.7 GHz	2	LGA1150	3613	 
1056	Intel Core i5-4460T	1.9 GHz	4	LGA1150	3610	 
1057	Intel Xeon E3-1225	3.1 GHz	4	LGA1155	3608	 
1058	Intel Pentium G4600	3.6 GHz	2	LGA1151	3607	 
1059	Intel Xeon E5620	2.4 GHz	4	LGA1366	3603	 
1060	AMD Athlon X4 950	3.5 GHz	4	AM4	3600	 
1061	AMD A8-7680	3.5 GHz	4	FM2+	3599	 
1062	AMD A12-9800	3.8 GHz	4	AM4	3598	 
1063	AMD Ryzen 3 2200U	2.5 GHz	2	FP5	3596	 
1064	Intel Core i3-8130U	2.2 GHz	2	BGA1356	3596	 
1065	Intel Core i7-2630QM	2.0 GHz	4	PGA988B	3591	 
1066	Intel Core i3-4170	3.7 GHz	2	LGA1150	3586	 
1067	Intel Core i7-6600U	2.6 GHz	2	BGA1356	3585	 
1068	AMD A10-7890K	4.1 GHz	4	FM2+	3583	 
1069	Intel Core i3-4330	3.5 GHz	2	LGA1150	3575	 
1070	Intel Core i5-2450P	3.2 GHz	4	LGA1155	3575	 
1071	Intel Pentium G4560	3.5 GHz	2	LGA1151	3565	 
1072	AMD Opteron 6176 SE	2.3 GHz	12	G34	3564	 
1073	AMD A10-7870K	3.9 GHz	4	FM2+	3562	 
1074	Intel Core i5-2320	3.0 GHz	4	LGA1155	3549	 
1075	Intel Pentium Gold G5420	3.8 GHz	2	LGA1151-2	3547	 
1076	Intel Core i3-4340	3.6 GHz	2	LGA1150	3528	 
1077	Intel Xeon E5-1603	2.8 GHz	4	LGA2011	3522	 
1078	AMD A10-8850	3.9 GHz	4	3519	 
1079	Intel Xeon E5-2418L	2.0 GHz	4	LGA 1356	3518	 
1080	AMD PRO A10-9700	3.5 GHz	4	AM4	3516	 
1081	Intel Pentium Gold G5400T	3.1 GHz	2	LGA1151-2	3509	 
1082	Intel Core i7-6650U	2.2 GHz	2	BGA1356	3506	 
1083	AMD Athlon X4 880K	4.0 GHz	4	FM2+	3492	 
1084	Intel Core i3-7167U	2.8 GHz	2	3489	 
1085	AMD Opteron 6164 HE	1.7 GHz	12	Socket G34	3478	 
1086	Intel Core i3-4160	3.6 GHz	2	LGA1150	3476	 
1087	AMD Athlon X4 870K	3.9 GHz	4	FM2+	3474	 
1088	AMD FX-4330	4.0 GHz	4	AM3+	3467	 
1089	AMD A10-9700	3.5 GHz	4	AM4	3463	 
1090	Intel Core i3-7100H	3.0 GHz	2	BGA1440	3460	 
1091	Intel Xeon X5698	4.4 GHz	2	LGA1366	3447	 
1092	Intel Xeon W3580	3.3 GHz	4	LGA1366	3445	 
1093	AMD Embedded R-Series RX-418GD Radeon R6	1.8 GHz	4	FP4	3426	 
1094	AMD Opteron 6172	2.1 GHz	12	G34	3420	 
1095	Intel Core i5-2310	2.9 GHz	4	LGA1155	3417	 
1096	AMD PRO A10-8770	3.5 GHz	4	AM4	3412	 
1097	AMD Athlon X4 860K	3.7 GHz	4	FM2+	3410	 
1098	Intel Core i5-4340M	2.9 GHz	2	3398	 
1099	Intel Xeon E5-4603	2.0 GHz	4	LGA 2011	3391	 
1100	Intel Core i3-4370T	3.3 GHz	2	LGA1150	3390	 
1101	Intel Xeon W5580	3.2 GHz	4	LGA1366	3386	 
1102	Intel Core i5-7200U	2.5 GHz	2	BGA1356	3386	 
1103	AMD Opteron 6136	2.4 GHz	8	Socket G34	3381	 
1104	AMD A8-9600	3.1 GHz	4	AM4	3380	 
1105	Intel Core i5-6287U	3.1 GHz	2	BGA1356	3378	 
1106	AMD FX-B4150 Quad-Core	3.8 GHz	4	AM3+	3369	 
1107	Intel Core i3-4150	3.5 GHz	2	LGA1150	3368	 
1108	Intel Xeon W3570	3.5 GHz	4	LGA1366	3357	 
1109	Intel Core i5-5287U	2.9 GHz	2	BGA1168	3356	 
1110	Intel Core i5-2500S	2.7 GHz	4	LGA1155	3355	 
